date,tests,normal_beds,ICU_beds,state
2020-05-29,61552,7,0,Oberösterreich
2020-05-30,442143,75,23,Alle
2020-05-30,104094,36,10,Wien
2020-05-30,21298,0,0,Vorarlberg
2020-05-30,72770,9,3,Tirol
2020-05-30,50347,6,0,Steiermark
2020-05-30,33149,0,0,Salzburg
2020-05-30,68149,15,10,Niederösterreich
2020-05-30,16935,0,0,Kärnten
2020-05-30,13058,2,0,Burgenland
2020-05-30,62343,7,0,Oberösterreich
2020-05-31,73319,4,3,Tirol
2020-05-31,448534,70,27,Alle
2020-05-31,106863,39,14,Wien
2020-05-31,50817,6,0,Steiermark
2020-05-31,21763,0,0,Vorarlberg
2020-05-31,62819,7,0,Oberösterreich
2020-05-31,69621,12,10,Niederösterreich
2020-05-31,33275,0,0,Salzburg
2020-05-31,17104,0,0,Kärnten
2020-05-31,12953,2,0,Burgenland
2020-06-01,106863,39,14,Wien
2020-06-01,21789,0,0,Vorarlberg
2020-06-01,73515,4,3,Tirol
2020-06-01,51330,5,2,Steiermark
2020-06-01,451820,68,29,Alle
2020-06-01,63303,7,0,Oberösterreich
2020-06-01,71433,11,10,Niederösterreich
2020-06-01,17204,0,0,Kärnten
2020-06-01,13028,2,0,Burgenland
2020-06-01,33355,0,0,Salzburg
2020-06-02,456378,62,26,Alle
2020-06-02,108942,37,12,Wien
2020-06-02,21789,0,0,Vorarlberg
2020-06-02,73959,4,3,Tirol
2020-06-02,51705,5,2,Steiermark
2020-06-02,33485,0,0,Salzburg
2020-06-02,72439,11,9,Niederösterreich
2020-06-02,17395,0,0,Kärnten
2020-06-02,13089,2,0,Burgenland
2020-06-02,63575,3,0,Oberösterreich
2020-06-03,74409,5,2,Tirol
2020-06-03,111587,38,11,Wien
2020-06-03,21931,0,0,Vorarlberg
2020-06-03,52371,5,2,Steiermark
2020-06-03,462958,66,21,Alle
2020-06-03,64275,3,0,Oberösterreich
2020-06-03,13232,2,0,Burgenland
2020-06-03,33675,0,0,Salzburg
2020-06-03,73642,13,6,Niederösterreich
2020-06-03,17836,0,0,Kärnten
2020-06-04,471466,65,22,Alle
2020-06-04,114552,40,13,Wien
2020-06-04,22248,0,0,Vorarlberg
2020-06-04,53370,4,1,Steiermark
2020-06-04,75312,3,2,Tirol
2020-06-04,65176,4,0,Oberösterreich
2020-06-04,74761,12,6,Niederösterreich
2020-06-04,18212,0,0,Kärnten
2020-06-04,13995,2,0,Burgenland
2020-06-04,33840,0,0,Salzburg
2020-06-05,479449,55,20,Alle
2020-06-05,116506,34,11,Wien
2020-06-05,22739,0,0,Vorarlberg
2020-06-05,76246,3,2,Tirol
2020-06-05,54110,2,1,Steiermark
2020-06-05,34111,0,0,Salzburg
2020-06-05,76964,12,6,Niederösterreich
2020-06-05,18555,0,0,Kärnten
2020-06-05,14101,2,0,Burgenland
2020-06-05,66117,2,0,Oberösterreich
2020-06-06,485912,55,17,Alle
2020-06-06,118882,37,10,Wien
2020-06-06,23126,0,0,Vorarlberg
2020-06-06,76524,1,1,Tirol
2020-06-06,54995,2,1,Steiermark
2020-06-06,34297,0,0,Salzburg
2020-06-06,77996,11,5,Niederösterreich
2020-06-06,19066,0,0,Kärnten
2020-06-06,14167,2,0,Burgenland
2020-06-06,66859,2,0,Oberösterreich
2020-06-07,76978,1,1,Tirol
2020-06-07,118882,37,10,Wien
2020-06-07,23634,0,0,Vorarlberg
2020-06-07,55347,1,1,Steiermark
2020-06-07,489597,52,17,Alle
2020-06-07,67337,2,0,Oberösterreich
2020-06-07,14291,2,0,Burgenland
2020-06-07,34379,0,0,Salzburg
2020-06-07,79508,9,5,Niederösterreich
2020-06-07,19241,0,0,Kärnten
2020-06-08,14353,2,0,Burgenland
2020-06-08,19455,0,0,Kärnten
2020-06-08,80732,8,6,Niederösterreich
2020-06-08,67670,5,0,Oberösterreich
2020-06-08,34398,0,0,Salzburg
2020-06-08,55475,1,1,Steiermark
2020-06-08,77142,1,1,Tirol
2020-06-08,23712,0,0,Vorarlberg
2020-06-08,121824,48,9,Wien
2020-06-08,494761,65,17,Alle
2020-06-09,500921,65,19,Alle
2020-06-09,123664,48,10,Wien
