date,state,population,cases,recovered,dead
2020-04-18,Vorarlberg,399237,624,457,15
2020-04-18,Steiermark,1247077,1287,564,90
2020-04-18,Tirol,760105,2726,1914,91
2020-04-18,Oberösterreich,1495608,1678,1108,33
2020-04-18,Burgenland,296010,248,141,4
2020-04-18,Salzburg,560710,873,641,25
2020-04-18,Niederösterreich,1690879,1977,1172,76
2020-04-18,Kärnten,562089,295,176,13
2020-04-19,Österreich,8932664,11637,7492,466
2020-04-19,Wien,1920949,1898,1197,107
2020-04-19,Vorarlberg,399237,625,465,15
2020-04-19,Steiermark,1247077,1294,575,94
2020-04-19,Tirol,760105,2732,1946,93
2020-04-19,Oberösterreich,1495608,1682,1128,35
2020-04-19,Niederösterreich,1690879,1982,1206,79
2020-04-19,Kärnten,562089,295,180,13
2020-04-19,Burgenland,296010,251,147,4
2020-04-19,Salzburg,560710,878,648,26
2020-04-20,Österreich,8932664,11702,7856,475
2020-04-20,Wien,1920949,1911,1244,109
2020-04-20,Vorarlberg,399237,630,477,15
2020-04-20,Tirol,760105,2736,2080,97
2020-04-20,Steiermark,1247077,1303,612,97
2020-04-20,Salzburg,560710,878,664,26
2020-04-20,Niederösterreich,1690879,2001,1272,79
2020-04-20,Burgenland,296010,256,157,4
2020-04-20,Oberösterreich,1495608,1690,1166,35
2020-04-20,Kärnten,562089,297,184,13
2020-04-21,Burgenland,296010,259,163,4
2020-04-21,Kärnten,562089,298,194,13
2020-04-21,Niederösterreich,1690879,2013,1333,80
2020-04-21,Oberösterreich,1495608,1694,1221,37
2020-04-21,Salzburg,560710,880,680,29
2020-04-21,Steiermark,1247077,1309,643,98
2020-04-21,Tirol,760105,2745,2242,98
2020-04-21,Vorarlberg,399237,632,493,15
2020-04-21,Wien,1920949,1942,1290,118
2020-04-21,Österreich,8932664,11772,8259,492
2020-04-22,Tirol,760105,2754,2278,101
2020-04-22,Österreich,8932664,11842,8494,504
2020-04-22,Wien,1920949,1965,1330,120
2020-04-22,Vorarlberg,399237,632,499,15
2020-04-22,Steiermark,1247077,1325,672,100
2020-04-22,Oberösterreich,1495608,1698,1259,39
2020-04-22,Niederösterreich,1690879,2028,1376,82
2020-04-22,Kärnten,562089,298,211,13
2020-04-22,Burgenland,296010,262,168,5
2020-04-22,Salzburg,560710,880,701,29
2020-04-23,Salzburg,560710,882,721,29
2020-04-23,Burgenland,296010,263,173,5
2020-04-23,Kärnten,562089,298,226,13
2020-04-23,Niederösterreich,1690879,2035,1423,83
2020-04-23,Oberösterreich,1495608,1709,1298,40
2020-04-23,Steiermark,1247077,1336,697,102
2020-04-23,Tirol,760105,2759,2309,101
2020-04-23,Vorarlberg,399237,633,507,15
2020-04-23,Wien,1920949,1987,1371,123
2020-04-23,Österreich,8932664,11902,8725,511
2020-04-24,Tirol,760105,2775,2337,101
2020-04-24,Steiermark,1247077,1344,744,103
2020-04-24,Wien,1920949,2019,1406,125
2020-04-24,Vorarlberg,399237,633,510,15
2020-04-24,Österreich,8932664,11981,8955,517
2020-04-24,Salzburg,560710,884,730,29
2020-04-24,Niederösterreich,1690879,2048,1487,85
2020-04-24,Burgenland,296010,264,177,5
2020-04-24,Oberösterreich,1495608,1716,1332,41
2020-04-24,Kärnten,562089,298,232,13
2020-04-25,Burgenland,296010,265,179,6
2020-04-25,Kärnten,562089,300,243,13
2020-04-25,Niederösterreich,1690879,2055,1518,88
2020-04-25,Oberösterreich,1495608,1717,1348,42
2020-04-25,Salzburg,560710,886,746,29
2020-04-25,Tirol,760105,2787,2350,102
2020-04-25,Vorarlberg,399237,633,518,16
2020-04-25,Wien,1920949,2038,1425,130
2020-04-25,Österreich,8932664,12043,9084,530
2020-04-25,Steiermark,1247077,1362,757,104
2020-04-26,Österreich,8932664,12078,9184,539
2020-04-26,Steiermark,1247077,1374,763,106
